Título,...2,...3,...4,...5,...6
P: ¿Hace 5 años vivía en este distrito?,,,,,
Área Geográfica,,,,,
Toda la Base de Datos,,,,,
,,,,,
,Código,Distrito,Aún no había nacido,"Sí, vivía hace 5 años en este distrito",No vivía hace 5 años en este distrito
,110209,"Ica, Chincha, distrito: San Pedro de Huacarpana",81,886,25
,110210,"Ica, Chincha, distrito: Sunampe",3015,23498,2566
,110211,"Ica, Chincha, distrito: Tambo de Mora",521,4451,462
,110301,"Ica, Nasca, distrito: Nasca",2198,22346,3088
,110302,"Ica, Nasca, distrito: Changuillo",160,1634,156
,110303,"Ica, Nasca, distrito: El Ingenio",276,2619,239
,110304,"Ica, Nasca, distrito: Marcona",1286,11610,3085
,110305,"Ica, Nasca, distrito: Vista Alegre",2089,15792,2579
,110401,"Ica, Palpa, distrito: Palpa",663,6337,748
,110402,"Ica, Palpa, distrito: Llipata",147,1301,107
,110403,"Ica, Palpa, distrito: Río Grande",227,2250,181
,110404,"Ica, Palpa, distrito: Santa Cruz",74,780,73
,110405,"Ica, Palpa, distrito: Tibillo",38,277,29
,110501,"Ica, Pisco, distrito: Pisco",6490,55924,5053
,110502,"Ica, Pisco, distrito: Huancano",87,1068,224
,110503,"Ica, Pisco, distrito: Humay",511,4566,331
,110504,"Ica, Pisco, distrito: Independencia",1363,10800,824
,110505,"Ica, Pisco, distrito: Paracas",688,4644,1815
,110506,"Ica, Pisco, distrito: San Andrés",1301,11249,1217
,110507,"Ica, Pisco, distrito: San Clemente",2702,20135,1977
,110508,"Ica, Pisco, distrito: Tupac Amaru Inca",1886,14127,1762
,120101,"Junín, Huancayo, distrito: Huancayo",9022,91441,19530
,120104,"Junín, Huancayo, distrito: Carhuacallanga",22,465,19
,120105,"Junín, Huancayo, distrito: Chacapampa",62,841,56
,120106,"Junín, Huancayo, distrito: Chicche",46,654,41
,120107,"Junín, Huancayo, distrito: Chilca",7988,70179,13684
,120108,"Junín, Huancayo, distrito: Chongos Alto",68,1163,253
,120111,"Junín, Huancayo, distrito: Chupuro",143,1646,157
,120112,"Junín, Huancayo, distrito: Colca",74,903,40
,120113,"Junín, Huancayo, distrito: Cullhuas",102,1208,25
,120114,"Junín, Huancayo, distrito: El Tambo",12425,128740,25194
,120116,"Junín, Huancayo, distrito: Huacrapuquio",112,1108,146
,120117,"Junín, Huancayo, distrito: Hualhuas",448,3645,1158
,120119,"Junín, Huancayo, distrito: Huancan",2389,17143,5298
,120120,"Junín, Huancayo, distrito: Huasicancha",58,736,35
,120121,"Junín, Huancayo, distrito: Huayucachi",881,7464,1455
,120122,"Junín, Huancayo, distrito: Ingenio",196,2031,149
,120124,"Junín, Huancayo, distrito: Pariahuanca",470,4608,52
,120125,"Junín, Huancayo, distrito: Pilcomayo",1779,13710,4566
,120126,"Junín, Huancayo, distrito: Pucara",356,4083,309
,120127,"Junín, Huancayo, distrito: Quichuay",155,1558,139
,120128,"Junín, Huancayo, distrito: Quilcas",350,3184,370
,120129,"Junín, Huancayo, distrito: San Agustín",1443,10717,3121
,120130,"Junín, Huancayo, distrito: San Jerónimo de Tunan",1029,8625,1947
,120132,"Junín, Huancayo, distrito: Saño",508,4158,846
,120133,"Junín, Huancayo, distrito: Sapallanga",2036,14980,4080
,120134,"Junín, Huancayo, distrito: Sicaya",1705,12371,2856
,120135,"Junín, Huancayo, distrito: Santo Domingo de Acobamba",599,5420,203
,120136,"Junín, Huancayo, distrito: Viques",248,1970,421
,120201,"Junín, Concepción, distrito: Concepción",1160,11930,2338
,120202,"Junín, Concepción, distrito: Aco",132,1389,121
,120203,"Junín, Concepción, distrito: Andamarca",371,3003,128
,120204,"Junín, Concepción, distrito: Chambara",225,2231,94
,120205,"Junín, Concepción, distrito: Cochas",193,1635,95
,120206,"Junín, Concepción, distrito: Comas",486,4683,208
,120207,"Junín, Concepción, distrito: Heroínas Toledo",77,845,50
,120208,"Junín, Concepción, distrito: Manzanares",126,1202,150
,120209,"Junín, Concepción, distrito: Mariscal Castilla",147,1155,92
,120210,"Junín, Concepción, distrito: Matahuasi",476,4373,688
,120211,"Junín, Concepción, distrito: Mito",104,1141,137
,120212,"Junín, Concepción, distrito: Nueve de Julio",198,1715,374
,120213,"Junín, Concepción, distrito: Orcotuna",466,3810,462
,120214,"Junín, Concepción, distrito: San José de Quero",501,4801,96
,120215,"Junín, Concepción, distrito: Santa Rosa de Ocopa",146,1592,245
,120301,"Junín, Chanchamayo, distrito: Chanchamayo",2153,21417,4220
,120302,"Junín, Chanchamayo, distrito: Perene",5151,43558,4165
,120303,"Junín, Chanchamayo, distrito: Pichanaqui",3867,31805,3382
,120304,"Junín, Chanchamayo, distrito: San Luis de Shuaro",372,3503,282
,120305,"Junín, Chanchamayo, distrito: San Ramón",2257,20168,3375
,120306,"Junín, Chanchamayo, distrito: Vitoc",139,1415,260
,120401,"Junín, Jauja, distrito: Jauja",1258,14253,2397
,120402,"Junín, Jauja, distrito: Acolla",428,5302,347
,120403,"Junín, Jauja, distrito: Apata",351,3601,332
,120404,"Junín, Jauja, distrito: Ataura",105,1012,147
,120405,"Junín, Jauja, distrito: Canchayllo",149,1332,120
,120406,"Junín, Jauja, distrito: Curicaca",140,1158,112
,120407,"Junín, Jauja, distrito: El Mantaro",229,2100,269
,120408,"Junín, Jauja, distrito: Huamali",131,1320,195
,120409,"Junín, Jauja, distrito: Huaripampa",77,797,126
,120410,"Junín, Jauja, distrito: Huertas",195,1617,229
,120411,"Junín, Jauja, distrito: Janjaillo",35,494,29
,120412,"Junín, Jauja, distrito: Julcán",67,612,66
,120413,"Junín, Jauja, distrito: Leonor Ordoñez",110,1275,168
,120414,"Junín, Jauja, distrito: Llocllapampa",84,972,87
,120415,"Junín, Jauja, distrito: Marco",95,1285,71
,120416,"Junín, Jauja, distrito: Masma",157,1428,147
,120417,"Junín, Jauja, distrito: Masma Chicche",60,648,24
,120418,"Junín, Jauja, distrito: Molinos",152,1329,92
,120419,"Junín, Jauja, distrito: Monobamba",140,1295,227
,120420,"Junín, Jauja, distrito: Muqui",68,816,133
,120421,"Junín, Jauja, distrito: Muquiyauyo",193,1855,287
,120422,"Junín, Jauja, distrito: Paca",55,771,66
,120423,"Junín, Jauja, distrito: Paccha",127,1263,60
,120424,"Junín, Jauja, distrito: Pancan",89,1015,122
,120425,"Junín, Jauja, distrito: Parco",86,956,111
,120426,"Junín, Jauja, distrito: Pomacancha",125,1257,45
,120427,"Junín, Jauja, distrito: Ricran",102,1127,67
,120428,"Junín, Jauja, distrito: San Lorenzo",226,1976,336
,120429,"Junín, Jauja, distrito: San Pedro de Chunan",34,617,51
,120430,"Junín, Jauja, distrito: Sausa",297,2200,563
,120431,"Junín, Jauja, distrito: Sincos",325,3557,174
,120432,"Junín, Jauja, distrito: Tunan Marca",92,863,83
,120433,"Junín, Jauja, distrito: Yauli",78,928,91
,120434,"Junín, Jauja, distrito: Yauyos",775,7071,1146
,120501,"Junín, Junín, distrito: Junín",878,9157,941
,120502,"Junín, Junín, distrito: Carhuamayo",536,5512,590
,120503,"Junín, Junín, distrito: Ondores",88,1079,69
,120504,"Junín, Junín, distrito: Ulcumayo",434,3698,151
,120601,"Junín, Satipo, distrito: Satipo",3422,29347,4306
,120602,"Junín, Satipo, distrito: Coviriali",641,4648,489
,120603,"Junín, Satipo, distrito: Llaylla",475,5864,205
,120604,"Junín, Satipo, distrito: Mazamari",4895,28102,2722
,120605,"Junín, Satipo, distrito: Pampa Hermosa",377,3153,160
